"ind";"pop";"K241";"K066";"K253";"K211";"d101";"K260";"K056";"K224";"Ld45";"K263";"K228";"K225";"K235";"K189";"Ld56";"Ld42"
"Larix1";"Northern";"187/187";"154/172";"219/231";"208/216";"206/216";"113/119";"166/200";"142/142";"218/218";"222/232";"213/215";"195/195";"211/211";"164/174";"257/257";"189/191"
"Larix2";"Northern";"189/191";"154/168";"217/237";"196/208";"206/230";"109/109";"200/200";"140/146";"224/238";"230/230";"217/217";"189/189";"207/213";"170/174";"251/251";"191/191"
"Larix3";"Northern";"185/191";"166/168";"219/231";"196/216";"208/208";"127/127";"200/200";"142/142";"238/238";"230/230";"213/213";"187/187";"205/205";"174/178";"251/257";"191/191"
"Larix4";"Northern";"NA/NA";"162/162";"219/225";"196/196";"208/208";"127/127";"200/210";"146/146";"240/240";"218/218";"NA/NA";"187/187";"211/211";"176/176";"257/257";"191/191"
"Larix5";"Northern";"185/191";"162/162";"225/231";"204/218";"208/230";"109/109";"192/200";"144/144";"240/240";"224/230";"205/205";"203/203";"211/211";"164/174";"NA/NA";"191/191"
"Larix6";"Northern";"185/193";"156/162";"225/237";"212/218";"216/230";"109/127";"188/200";"146/146";"NA/NA";"218/244";"219/219";"187/187";"205/205";"172/174";"251/257";"191/201"
"Larix7";"Northern";"NA/NA";"156/162";"225/225";"218/224";"206/208";"127/127";"200/200";"146/146";"240/240";"230/242";"209/209";"201/201";"211/239";"166/176";"257/257";"191/191"
"Larix8";"Northern";"185/185";"166/168";"219/225";"196/218";"208/230";"117/127";"210/210";"142/142";"240/240";"218/230";"NA/NA";"NA/NA";"211/239";"174/176";"255/255";"191/199"
"Larix9";"Northern";"185/185";"162/166";"219/225";"196/218";"208/230";"109/127";"NA/NA";"146/146";"NA/NA";"NA/NA";"NA/NA";"187/187";"205/211";"174/176";"257/257";"191/191"
"Larix10";"Northern";"183/183";"156/166";"225/239";"218/228";"230/230";"127/127";"200/200";"NA/NA";"NA/NA";"218/234";"207/207";"187/187";"211/213";"176/178";"255/257";"189/191"
"Larix21";"Middle";"185/193";"158/168";"225/231";"208/220";"216/232";"117/117";"198/198";"142/142";"238/238";"244/244";"219/219";"NA/NA";"195/233";"178/180";"251/257";"189/189"
"Larix22";"Middle";"185/185";"154/168";"225/239";"220/226";"206/230";"127/127";"NA/NA";"144/144";"224/236";"208/244";"219/219";"189/189";"213/213";"176/178";"251/257";"189/189"
"Larix23";"Middle";"189/189";"154/168";"231/231";"210/210";"216/216";"115/115";"190/200";"NA/NA";"NA/NA";"222/224";"209/209";"189/189";"211/213";"166/174";"251/251";"191/191"
"Larix24";"Middle";"193/193";"158/168";"231/235";"214/218";"206/208";"109/109";"188/208";"142/142";"226/226";"230/234";"207/209";"NA/NA";"211/223";"180/180";"251/259";"191/191"
"Larix25";"Middle";"177/195";"154/168";"241/241";"210/230";"214/230";"109/109";"174/192";"142/142";"224/224";"218/230";"223/223";"NA/NA";"205/213";"166/166";"NA/NA";"189/191"
