ExtractionID;TreeID;SiteID
ESK1356;Larix1;Northern
ESK1357;Larix2;Northern
ESK1358;Larix3;Northern
ESK1359;Larix4;Northern
ESK1360;Larix5;Northern
ESK1362;Larix6;Northern
ESK1363;Larix7;Northern
ESK1364;Larix8;Northern
ESK1365;Larix9;Northern
ESK1366;Larix10;Northern
ESK1471;Larix11;Southern
ESK1474;Larix12;Southern
ESK1475;Larix13;Southern
ESK1476;Larix14;Southern
ESK1478;Larix15;Southern
ESK1482;Larix16;Southern
ESK1484;Larix17;Southern
ESK1485;Larix18;Southern
ESK1488;Larix19;Southern
ESK1490;Larix20;Southern
ESK1398;Larix21;Middle
ESK1399;Larix22;Middle
ESK1400;Larix23;Middle
ESK1401;Larix24;Middle
ESK1402;Larix25;Middle
ESK1404;Larix26;Middle
ESK1406;Larix27;Middle
ESK1408;Larix28;Middle
ESK1410;Larix29;Middle
ESK1411;Larix30;Middle
